Team,Win %,MOV,ATS +/-,Season,Wins,Losses
Air Force,76.9,11.2,3.3,2021,10,3
Air Force,41.7,-4.3,-1.8,2024,5,7
Air Force,76.9,14.5,2.2,2022,10,3
Air Force,69.2,9.7,-2.7,2023,9,4
Akron,33.3,-11.6,-0.4,2024,4,8
Akron,16.7,-11.8,-5.5,2023,2,10
Akron,16.7,-19.7,-0.9,2021,2,10
Akron,16.7,-11.8,2.7,2022,2,10
Alabama,85.7,15.0,0.9,2023,12,2
Alabama,84.6,22.9,-1.9,2022,11,2
Alabama,86.7,19.7,-2.5,2021,13,2
Alabama,69.2,16.4,-1.2,2024,9,4
App State,64.3,6.2,2.7,2023,9,5
App State,71.4,12.4,0.9,2021,10,4
App State,45.5,-6.3,-6.9,2024,5,6
App State,50.0,8.2,-4.5,2022,6,6
Arizona,76.9,13.5,11.7,2023,10,3
Arizona,41.7,-5.7,1.5,2022,5,7
Arizona,33.3,-10.0,-13.3,2024,4,8
Arizona,8.3,-14.3,-2.4,2021,1,11
Arizona St,25.0,-14.1,-4.4,2023,3,9
Arizona St,78.6,10.4,10.9,2024,11,3
Arizona St,61.5,7.5,-4.3,2021,8,5
Arizona St,25.0,-5.3,-1.8,2022,3,9
Arkansas,53.9,5.9,2.8,2024,7,6
Arkansas,53.9,1.9,-0.7,2022,7,6
Arkansas,33.3,-1.3,-5.6,2023,4,8
Arkansas,69.2,8.0,2.6,2021,9,4
Arkansas St,16.7,-13.3,-4.2,2021,2,10
Arkansas St,46.2,-3.3,3.7,2023,6,7
Arkansas St,25.0,-6.4,-1.0,2022,3,9
Arkansas St,61.5,-6.3,-2.2,2024,8,5
Army,85.7,15.6,5.5,2024,12,2
Army,50.0,6.1,1.7,2022,6,6
Army,50.0,-0.6,-0.1,2023,6,6
Army,69.2,10.5,0.2,2021,9,4
Auburn,46.2,3.5,-1.8,2023,6,7
Auburn,41.7,6.4,-0.4,2024,5,7
Auburn,41.7,-4.8,-2.7,2022,5,7
Auburn,46.2,6.5,0.5,2021,6,7
BYU,61.5,1.8,-5.5,2022,8,5
BYU,76.9,8.3,-0.2,2021,10,3
BYU,84.6,11.5,9.8,2024,11,2
BYU,41.7,-6.8,-2.1,2023,5,7
Ball St,41.7,-3.7,1.2,2022,5,7
Ball St,25.0,-14.8,-1.7,2024,3,9
Ball St,46.2,-4.3,-4.2,2021,6,7
Ball St,33.3,-6.2,0.5,2023,4,8
Baylor,85.7,13.4,7.7,2021,12,2
Baylor,61.5,7.7,4.5,2024,8,5
Baylor,25.0,-10.3,-9.1,2023,3,9
Baylor,46.2,5.3,-0.3,2022,6,7
Boise St,58.3,10.2,4.0,2021,7,5
Boise St,85.7,14.7,0.9,2024,12,2
Boise St,71.4,10.0,-2.3,2022,10,4
Boise St,57.1,6.6,3.0,2023,8,6
Boston Col,53.9,-3.5,-0.4,2023,7,6
Boston Col,50.0,2.5,-3.2,2021,6,6
Boston Col,25.0,-12.6,-5.2,2022,3,9
Boston Col,53.9,4.4,5.9,2024,7,6
Bowling Grn,53.9,2.2,7.0,2023,7,6
Bowling Grn,33.3,-9.3,3.0,2021,4,8
Bowling Grn,53.9,5.5,0.6,2024,7,6
Bowling Grn,46.2,-9.1,-2.6,2022,6,7
Buffalo,33.3,-0.7,-3.5,2021,4,8
Buffalo,25.0,-6.5,-3.0,2023,3,9
Buffalo,53.9,1.8,2.7,2022,7,6
Buffalo,69.2,2.5,4.7,2024,9,4
California,46.2,-2.5,1.3,2023,6,7
California,41.7,1.5,0.3,2021,5,7
California,46.2,2.8,-1.0,2024,6,7
California,33.3,-3.9,-1.0,2022,4,8
Central Mich,33.3,-3.4,-5.5,2022,4,8
Central Mich,41.7,-7.9,-2.9,2023,5,7
Central Mich,69.2,6.5,4.8,2021,9,4
Central Mich,33.3,-7.1,-3.5,2024,4,8
Charlotte,41.7,-11.4,-3.2,2024,5,7
Charlotte,41.7,-6.8,-3.4,2021,5,7
Charlotte,25.0,-11.1,-3.6,2023,3,9
Charlotte,25.0,-15.0,-4.5,2022,3,9
Cincinnati,92.9,20.0,2.7,2021,13,1
Cincinnati,69.2,8.6,-2.0,2022,9,4
Cincinnati,25.0,-5.9,-5.5,2023,3,9
Cincinnati,41.7,0.6,-1.3,2024,5,7
Clemson,71.4,11.3,-0.8,2024,10,4
Clemson,69.2,8.8,-3.7,2023,9,4
Clemson,78.6,12.4,-2.8,2022,11,3
Clemson,76.9,11.5,-2.8,2021,10,3
Coastal Car,61.5,3.8,2.5,2023,8,5
Coastal Car,84.6,19.3,-1.0,2021,11,2
Coastal Car,69.2,-2.8,-6.8,2022,9,4
Coastal Car,46.2,-2.9,-3.0,2024,6,7
Colorado,33.3,-7.9,-0.7,2021,4,8
Colorado,33.3,-6.7,0.2,2023,4,8
Colorado,8.3,-29.1,-6.1,2022,1,11
Colorado,69.2,9.8,6.8,2024,9,4
Colorado St,41.7,-3.5,-2.3,2023,5,7
Colorado St,61.5,-1.4,-2.1,2024,8,5
Colorado St,25.0,-4.6,-3.5,2021,3,9
Colorado St,25.0,-13.8,-3.6,2022,3,9
Connecticut,69.2,8.8,7.5,2024,9,4
Connecticut,46.2,-6.8,6.2,2022,6,7
Connecticut,8.3,-22.9,-1.5,2021,1,11
Connecticut,25.0,-10.8,-2.6,2023,3,9
Duke,69.2,10.8,8.7,2022,9,4
Duke,69.2,1.8,2.3,2024,9,4
Duke,25.0,-16.9,-9.9,2021,3,9
Duke,61.5,7.9,4.3,2023,8,5
E Carolina,61.5,4.7,1.4,2024,8,5
E Carolina,16.7,-5.1,1.8,2023,2,10
E Carolina,61.5,5.4,-0.1,2022,8,5
E Carolina,58.3,3.4,4.7,2021,7,5
E Michigan,69.2,1.3,1.8,2022,9,4
E Michigan,53.9,0.2,-0.8,2021,7,6
E Michigan,46.2,-7.2,-3.0,2023,6,7
E Michigan,41.7,-2.0,-0.8,2024,5,7
Fla Atlantic,33.3,-1.8,-0.3,2023,4,8
Fla Atlantic,41.7,3.2,1.5,2022,5,7
