Offensive Rank,Team,G,Offense TDs,Total Offense YPG,Season,Rushing Rank,Rushing TDs,Rush YPG,Passing Rank,Int,Passing TDs,Pass YPG,Defensive Rank,Opp TDs,Total Defense YPG,Rushing Defensive Rank,Opp Rush TDs,Opp Rush YPG,Passing Defensive Rank,Opp Pass TDs,Opp Pass YPG,TM Rank,Fumbles Recovered,Fumbles Lost,Turnover Margin,PPG Rank,Penalties,Penalties Per Game,Penalty YPG Rank,Penalty YPG,TOP Rank,Avg Time of Possession,ATP Rank,Conference,Wins,Losses
1,Miami (FL) ,13,71,537.2,2024,31,30,188.9,3,8,41,348.2,27,42,327.2,19,16,112.8,57,22,214.4,52,4,8,2,95,86,6.62,119,67.54,8,32:43,,ACC,10,3
2,Ole Miss ,13,60,526.5,2024,44,29,175.7,2,7,31,350.8,14,21,311.2,2,7,80.5,86,13,230.8,13,11,6,10,111,94,7.23,127,72.00,108,28:23,,SEC,10,3
3,North Texas ,13,57,488.8,2024,69,24,160.6,4,14,33,328.2,127,54,460.5,115,28,195.9,121,23,264.6,103,5,8,-6,104,91,7.00,98,59.46,128,26:47,,The American,6,7
4,New Mexico ,12,49,484.3,2024,2,37,253.6,61,12,12,230.7,130,59,492.1,125,27,212.9,128,30,279.2,119,7,7,-9,133,112,9.33,132,81.50,98,28:53,,Mountain West,5,7
5,Texas St. ,13,58,476.9,2024,15,27,208.2,22,14,31,268.7,53,38,357.6,55,24,143.0,58,13,214.6,99,9,9,-5,100,88,6.77,114,64.15,34,31:12,,Sun Belt,8,5
6,Utah St. ,12,50,467.7,2024,23,21,198.6,21,17,29,269.1,129,56,470.1,127,27,214.5,117,28,255.6,105,3,5,-6,123,94,7.83,128,73.75,119,27:19,,Mountain West,4,8
7,Syracuse ,13,56,467.6,2024,125,22,97.6,1,12,34,370.0,78,47,377.5,69,19,150.2,82,22,227.3,55,5,3,1,107,92,7.08,97,59.15,6,33:04,,ACC,10,3
8,Boise St. ,14,66,466.0,2024,8,43,240.4,70,7,23,225.6,60,41,363.7,31,15,122.3,106,24,241.4,45,9,5,4,47,76,5.43,40,46.21,22,31:52,,Mountain West,12,2
9,Texas Tech ,13,57,462.7,2024,61,26,166.0,9,11,31,296.7,126,57,460.2,73,28,152.1,132,28,308.1,55,8,10,1,113,95,7.31,105,60.92,64,30:11,,Big 12,8,5
10,Arkansas ,13,50,459.5,2024,34,34,184.8,18,9,16,274.7,73,39,376.1,34,15,129.2,110,22,246.9,111,5,14,-8,110,93,7.15,100,59.85,53,30:25,,SEC,7,6
11,Clemson ,14,60,451.9,2024,48,23,173.4,15,7,37,278.5,69,41,374.1,85,18,160.6,54,22,213.5,4,10,3,16,21,69,4.93,43,47.64,50,30:30,,ACC,10,4
12,UTSA ,13,48,451.2,2024,54,21,167.7,11,13,27,283.5,71,50,375.2,11,19,109.3,123,28,265.8,55,11,8,1,131,113,8.69,131,81.08,40,31:02,,The American,7,6
13,Louisville ,13,54,449.2,2024,33,28,185.2,26,6,26,264.1,64,40,368.7,40,15,132.5,100,24,236.2,35,7,5,6,81,81,6.23,57,49.38,75,29:50,,ACC,9,4
14,UCF ,12,47,447.8,2024,5,33,248.1,97,11,14,199.7,37,40,339.0,29,14,120.3,67,21,218.7,114,2,8,-8,92,78,6.50,85,54.42,110,28:18,,Big 12,4,8
15,Tennessee ,13,55,447.0,2024,9,34,225.8,77,7,21,221.2,6,26,293.2,10,13,103.9,29,11,189.3,35,9,8,6,125,105,8.08,118,66.85,79,29:34,,SEC,10,3
16,Memphis ,13,58,444.5,2024,46,33,174.1,20,6,25,270.5,66,39,369.3,15,21,111.8,118,17,257.5,2,15,2,18,35,69,5.31,46,48.00,4,33:14,,The American,11,2
17,Washington St. ,13,61,442.8,2024,56,28,166.8,16,9,33,276.1,119,48,442.6,96,23,172.1,124,25,270.5,24,8,5,8,77,80,6.15,93,57.85,96,28:58,,FBS Independent,8,5
18,South Alabama ,13,53,442.2,2024,22,32,198.7,45,6,21,243.5,89,39,391.0,54,19,142.2,111,18,248.8,24,4,6,8,130,107,8.23,125,71.31,84,29:25,,Sun Belt,7,6
19,Jacksonville St. ,14,65,441.6,2024,3,51,251.2,106,7,14,190.4,93,44,393.0,99,21,174.8,66,21,218.2,22,12,8,9,73,83,5.93,92,57.71,125,26:58,,CUSA,9,5
