Team,W-L,Win %,MOV,ATS +/-,Season
Air Force,10-3,76.9,14.5,2.2,2022
Air Force,10-3,76.9,11.2,3.3,2021
Air Force,9-4,69.2,9.7,-2.7,2023
Air Force,5-7,41.7,-4.3,-1.8,2024
Akron,2-10,16.7,-19.7,-0.9,2021
Akron,4-8,33.3,-11.6,-0.4,2024
Akron,2-10,16.7,-11.8,-5.5,2023
Akron,2-10,16.7,-11.8,2.7,2022
Alabama,9-4,69.2,16.4,-1.2,2024
Alabama,12-2,85.7,15.0,0.9,2023
Alabama,11-2,84.6,22.9,-1.9,2022
Alabama,13-2,86.7,19.7,-2.5,2021
App State,6-6,50.0,8.2,-4.5,2022
App State,9-5,64.3,6.2,2.7,2023
App State,5-6,45.5,-6.3,-6.9,2024
App State,10-4,71.4,12.4,0.9,2021
Arizona,5-7,41.7,-5.7,1.5,2022
Arizona,10-3,76.9,13.5,11.7,2023
Arizona,1-11,8.3,-14.3,-2.4,2021
Arizona,4-8,33.3,-10.0,-13.3,2024
Arizona St,8-5,61.5,7.5,-4.3,2021
Arizona St,11-3,78.6,10.4,10.9,2024
Arizona St,3-9,25.0,-14.1,-4.4,2023
Arizona St,3-9,25.0,-5.3,-1.8,2022
Arkansas,7-6,53.9,5.9,2.8,2024
Arkansas,9-4,69.2,8.0,2.6,2021
Arkansas,7-6,53.9,1.9,-0.7,2022
Arkansas,4-8,33.3,-1.3,-5.6,2023
Arkansas St,2-10,16.7,-13.3,-4.2,2021
Arkansas St,6-7,46.2,-3.3,3.7,2023
Arkansas St,8-5,61.5,-6.3,-2.2,2024
Arkansas St,3-9,25.0,-6.4,-1.0,2022
Army,6-6,50.0,-0.6,-0.1,2023
Army,6-6,50.0,6.1,1.7,2022
Army,9-4,69.2,10.5,0.2,2021
Army,12-2,85.7,15.6,5.5,2024
Auburn,5-7,41.7,-4.8,-2.7,2022
Auburn,5-7,41.7,6.4,-0.4,2024
Auburn,6-7,46.2,6.5,0.5,2021
Auburn,6-7,46.2,3.5,-1.8,2023
BYU,8-5,61.5,1.8,-5.5,2022
BYU,11-2,84.6,11.5,9.8,2024
BYU,5-7,41.7,-6.8,-2.1,2023
BYU,10-3,76.9,8.3,-0.2,2021
Ball St,3-9,25.0,-14.8,-1.7,2024
Ball St,4-8,33.3,-6.2,0.5,2023
Ball St,5-7,41.7,-3.7,1.2,2022
Ball St,6-7,46.2,-4.3,-4.2,2021
Baylor,12-2,85.7,13.4,7.7,2021
Baylor,8-5,61.5,7.7,4.5,2024
Baylor,3-9,25.0,-10.3,-9.1,2023
Baylor,6-7,46.2,5.3,-0.3,2022
Boise St,10-4,71.4,10.0,-2.3,2022
Boise St,7-5,58.3,10.2,4.0,2021
Boise St,12-2,85.7,14.7,0.9,2024
Boise St,8-6,57.1,6.6,3.0,2023
Boston Col,7-6,53.9,4.4,5.9,2024
Boston Col,6-6,50.0,2.5,-3.2,2021
Boston Col,7-6,53.9,-3.5,-0.4,2023
Boston Col,3-9,25.0,-12.6,-5.2,2022
Bowling Grn,4-8,33.3,-9.3,3.0,2021
Bowling Grn,6-7,46.2,-9.1,-2.6,2022
Bowling Grn,7-6,53.9,5.5,0.6,2024
Bowling Grn,7-6,53.9,2.2,7.0,2023
Buffalo,4-8,33.3,-0.7,-3.5,2021
Buffalo,7-6,53.9,1.8,2.7,2022
Buffalo,9-4,69.2,2.5,4.7,2024
Buffalo,3-9,25.0,-6.5,-3.0,2023
California,6-7,46.2,-2.5,1.3,2023
California,5-7,41.7,1.5,0.3,2021
California,4-8,33.3,-3.9,-1.0,2022
California,6-7,46.2,2.8,-1.0,2024
Central Mich,9-4,69.2,6.5,4.8,2021
Central Mich,5-7,41.7,-7.9,-2.9,2023
Central Mich,4-8,33.3,-7.1,-3.5,2024
Central Mich,4-8,33.3,-3.4,-5.5,2022
Charlotte,5-7,41.7,-6.8,-3.4,2021
Charlotte,5-7,41.7,-11.4,-3.2,2024
Charlotte,3-9,25.0,-15.0,-4.5,2022
Charlotte,3-9,25.0,-11.1,-3.6,2023
Cincinnati,9-4,69.2,8.6,-2.0,2022
Cincinnati,13-1,92.9,20.0,2.7,2021
Cincinnati,5-7,41.7,0.6,-1.3,2024
Cincinnati,3-9,25.0,-5.9,-5.5,2023
Clemson,10-4,71.4,11.3,-0.8,2024
Clemson,10-3,76.9,11.5,-2.8,2021
Clemson,11-3,78.6,12.4,-2.8,2022
Clemson,9-4,69.2,8.8,-3.7,2023
Coastal Car,6-7,46.2,-2.9,-3.0,2024
Coastal Car,11-2,84.6,19.3,-1.0,2021
Coastal Car,8-5,61.5,3.8,2.5,2023
Coastal Car,9-4,69.2,-2.8,-6.8,2022
Colorado,1-11,8.3,-29.1,-6.1,2022
Colorado,4-8,33.3,-6.7,0.2,2023
Colorado,9-4,69.2,9.8,6.8,2024
Colorado,4-8,33.3,-7.9,-0.7,2021
Colorado St,3-9,25.0,-4.6,-3.5,2021
Colorado St,5-7,41.7,-3.5,-2.3,2023
Colorado St,8-5,61.5,-1.4,-2.1,2024
Colorado St,3-9,25.0,-13.8,-3.6,2022
Connecticut,1-11,8.3,-22.9,-1.5,2021
Connecticut,3-9,25.0,-10.8,-2.6,2023
Connecticut,6-7,46.2,-6.8,6.2,2022
Connecticut,9-4,69.2,8.8,7.5,2024
Duke,9-4,69.2,10.8,8.7,2022
Duke,9-4,69.2,1.8,2.3,2024
Duke,8-5,61.5,7.9,4.3,2023
Duke,3-9,25.0,-16.9,-9.9,2021
E Carolina,8-5,61.5,4.7,1.4,2024
E Carolina,8-5,61.5,5.4,-0.1,2022
E Carolina,2-10,16.7,-5.1,1.8,2023
E Carolina,7-5,58.3,3.4,4.7,2021
E Michigan,5-7,41.7,-2.0,-0.8,2024
E Michigan,6-7,46.2,-7.2,-3.0,2023
E Michigan,9-4,69.2,1.3,1.8,2022
E Michigan,7-6,53.9,0.2,-0.8,2021
Fla Atlantic,5-7,41.7,3.2,1.5,2022
Fla Atlantic,3-9,25.0,-4.3,-4.4,2024
Fla Atlantic,5-7,41.7,-0.3,-3.0,2021
Fla Atlantic,4-8,33.3,-1.8,-0.3,2023
Florida,8-5,61.5,5.2,5.5,2024
Florida,5-7,41.7,0.8,-2.5,2023
Florida,6-7,46.2,0.7,-2.5,2022
Florida,6-7,46.2,3.9,-9.9,2021
Florida Intl,1-11,8.3,-19.3,-12.2,2021
Florida Intl,4-8,33.3,-11.8,-4.2,2023
Florida Intl,4-8,33.3,0.6,2.4,2024
Florida Intl,4-8,33.3,-18.6,-3.7,2022
Florida St,5-7,41.7,1.1,-0.5,2021
Florida St,2-10,16.7,-12.6,-10.8,2024
Florida St,10-3,76.9,15.5,4.7,2022
Florida St,13-1,92.9,15.3,1.0,2023
Fresno St,10-4,71.4,11.1,1.6,2022
Fresno St,6-7,46.2,1.2,-2.5,2024
Fresno St,10-3,76.9,12.8,2.9,2021
Fresno St,9-4,69.2,7.0,-2.8,2023
GA Southern,3-9,25.0,-11.2,-3.5,2021
GA Southern,8-5,61.5,0.4,2.5,2024
GA Southern,6-7,46.2,-0.3,-3.3,2023
GA Southern,6-7,46.2,1.1,3.1,2022
GA Tech,7-6,53.9,1.6,3.8,2023
GA Tech,5-7,41.7,-11.3,0.7,2022
GA Tech,3-9,25.0,-9.5,-3.6,2021
GA Tech,7-6,53.9,3.3,1.7,2024
Georgia,13-1,92.9,24.5,1.5,2023
Georgia,14-1,93.3,28.4,7.3,2021
Georgia,15-0,100.0,26.8,1.6,2022
Georgia,11-3,78.6,10.9,-4.7,2024
Georgia St,8-5,61.5,1.1,2.9,2021
Georgia St,3-9,25.0,-10.0,-4.3,2024
Georgia St,4-8,33.3,-1.2,0.5,2022
Georgia St,7-6,53.9,-2.8,-1.4,2023
Hawaii,5-8,38.5,-10.8,-2.1,2023
Hawaii,5-7,41.7,-3.7,-0.9,2024
Hawaii,6-7,46.2,-2.6,-0.7,2021
Hawaii,3-10,23.1,-14.9,-0.5,2022
Houston,8-5,61.5,3.9,-2.1,2022
Houston,4-8,33.3,-8.9,-0.9,2024
Houston,4-8,33.3,-7.8,-2.4,2023
Houston,12-2,85.7,15.4,4.1,2021
Illinois,10-3,76.9,6.6,6.1,2024
Illinois,5-7,41.7,-1.8,4.8,2021
Illinois,5-7,41.7,-4.9,-4.9,2023
Illinois,8-5,61.5,11.5,7.3,2022
Indiana,11-2,84.6,25.7,12.8,2024
Indiana,2-10,16.7,-16.0,-12.1,2021
Indiana,3-9,25.0,-7.8,-0.1,2023
Indiana,4-8,33.3,-10.7,-2.0,2022
Iowa,8-5,61.5,9.8,4.1,2024
Iowa,10-4,71.4,4.2,-0.8,2021
Iowa,10-4,71.4,0.6,-1.5,2023
Iowa,8-5,61.5,4.4,2.7,2022
Iowa St,7-6,53.9,10.8,-1.3,2021
