Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Team,Conference
124,12,5-7,313.8,2024,40,341.9,10,224.0,74,153.4,132,89.8,Air Force ,Mountain West
112,12,4-8,332.8,2024,108,414.4,121,100.3,104,183.3,59,232.4,Akron ,MAC
42,13,9-4,410.2,2024,21,320.1,47,173.8,48,137.8,56,236.4,Alabama ,SEC
33,11,5-6,426.8,2024,104,412.5,77,153.8,117,197.6,19,273.0,App State ,Sun Belt
96,12,4-8,354.5,2024,105,413.0,119,106.6,98,174.0,42,247.9,Arizona ,Big 12
28,14,11-3,429.4,2024,38,339.6,20,199.9,21,112.9,62,229.5,Arizona St. ,Big 12
10,13,7-6,459.5,2024,73,376.1,34,184.8,34,129.2,18,274.7,Arkansas ,SEC
68,13,8-5,384.4,2024,128,461.8,74,156.9,124,211.7,67,227.5,Arkansas St. ,Sun Belt
73,14,12-2,381.1,2024,8,297.9,1,300.5,16,112.0,133,80.6,Army West Point ,The American
29,12,5-7,429.4,2024,31,330.8,62,165.5,27,117.8,28,263.9,Auburn ,SEC
59,13,11-2,392.3,2024,13,308.8,68,161.0,33,126.3,60,231.3,BYU ,Big 12
103,12,3-9,347.8,2024,124,454.9,120,102.8,100,175.3,43,245.0,Ball St. ,MAC
20,13,8-5,440.1,2024,87,386.2,42,178.8,72,152.0,34,261.3,Baylor ,Big 12
8,14,12-2,466.0,2024,60,363.7,8,240.4,31,122.3,70,225.6,Boise St. ,Mountain West
90,13,7-6,365.4,2024,55,360.7,60,166.1,22,114.9,99,199.3,Boston College ,ACC
77,13,7-6,377.4,2024,32,331.3,89,136.8,61,145.9,48,240.6,Bowling Green ,MAC
95,13,9-4,355.4,2024,91,391.8,52,169.1,62,146.6,110,186.3,Buffalo ,MAC
74,13,6-7,380.2,2024,36,337.5,103,121.5,14,109.8,37,258.6,California ,ACC
116,12,4-8,329.5,2024,59,363.6,59,166.1,93,169.8,124,163.4,Central Mich. ,MAC
105,12,5-7,341.2,2024,116,433.2,106,117.1,122,210.3,73,224.1,Charlotte ,The American
36,12,5-7,420.6,2024,85,385.4,36,184.1,88,162.7,55,236.5,Cincinnati ,Big 12
