Offensive Rank,G,W-L,Total Offense YPG,Season,Defensive Rank,Total Defense YPG,Rushing Rank,Rush YPG,Rushing Defensive Rank,Opp Rush YPG,Passing Rank,Pass YPG,Conference,Teams,Win %,MOV,ATS +/-
124,12,5-7,313.8,2024,40,341.9,10,224.0,74,153.4,132,89.8,Mountain West,Air Force,41.7,-4.3,-1.8
112,12,4-8,332.8,2024,108,414.4,121,100.3,104,183.3,59,232.4,MAC,Akron,33.3,-11.6,-0.4
42,13,9-4,410.2,2024,21,320.1,47,173.8,48,137.8,56,236.4,SEC,Alabama,69.2,16.4,-1.2
33,11,5-6,426.8,2024,104,412.5,77,153.8,117,197.6,19,273.0,Sun Belt,App State,45.5,-6.3,-6.9
96,12,4-8,354.5,2024,105,413.0,119,106.6,98,174.0,42,247.9,Big 12,Arizona,33.3,-10.0,-13.3
28,14,11-3,429.4,2024,38,339.6,20,199.9,21,112.9,62,229.5,Big 12,Arizona St,78.6,10.4,10.9
10,13,7-6,459.5,2024,73,376.1,34,184.8,34,129.2,18,274.7,SEC,Arkansas,53.9,5.9,2.8
68,13,8-5,384.4,2024,128,461.8,74,156.9,124,211.7,67,227.5,Sun Belt,Arkansas St,61.5,-6.3,-2.2
29,12,5-7,429.4,2024,31,330.8,62,165.5,27,117.8,28,263.9,SEC,Auburn,41.7,6.4,-0.4
103,12,3-9,347.8,2024,124,454.9,120,102.8,100,175.3,43,245.0,MAC,Ball St,25.0,-14.8,-1.7
20,13,8-5,440.1,2024,87,386.2,42,178.8,72,152.0,34,261.3,Big 12,Baylor,61.5,7.7,4.5
8,14,12-2,466.0,2024,60,363.7,8,240.4,31,122.3,70,225.6,Mountain West,Boise St,85.7,14.7,0.9
95,13,9-4,355.4,2024,91,391.8,52,169.1,62,146.6,110,186.3,MAC,Buffalo,69.2,2.5,4.7
59,13,11-2,392.3,2024,13,308.8,68,161.0,33,126.3,60,231.3,Big 12,Byu,84.6,11.5,9.8
74,13,6-7,380.2,2024,36,337.5,103,121.5,14,109.8,37,258.6,ACC,California,46.2,2.8,-1.0
116,12,4-8,329.5,2024,59,363.6,59,166.1,93,169.8,124,163.4,MAC,Central Mich,33.3,-7.1,-3.5
105,12,5-7,341.2,2024,116,433.2,106,117.1,122,210.3,73,224.1,The American,Charlotte,41.7,-11.4,-3.2
36,12,5-7,420.6,2024,85,385.4,36,184.1,88,162.7,55,236.5,Big 12,Cincinnati,41.7,0.6,-1.3
11,14,10-4,451.9,2024,69,374.1,48,173.4,85,160.6,15,278.5,ACC,Clemson,71.4,11.3,-0.8
69,13,9-4,383.2,2024,50,351.9,133,65.2,71,151.4,6,318.0,Big 12,Colorado,69.2,9.8,6.8
65,13,8-5,387.6,2024,96,394.5,53,168.2,82,159.8,78,219.5,Mountain West,Colorado St,61.5,-1.4,-2.1
108,13,9-4,336.8,2024,58,363.1,127,92.5,68,149.6,44,244.3,ACC,Duke,69.2,1.8,2.3
57,12,3-9,397.6,2024,111,416.7,30,189.0,105,183.5,91,208.6,The American,Fla Atlantic,25.0,-4.3,-4.4
66,13,8-5,386.9,2024,76,376.9,67,161.2,66,149.5,69,225.7,SEC,Florida,61.5,5.2,5.5
